Edge,Count
26360,3
26496,1
52960,1
52804,1
52634,1
52497,1
52352,1
51549,1
51308,1
53029,1
58895,1
58918,1
59017,1
59153,1
59201,1
59307,1
59474,1
59851,1
59994,1
60584,1
21648,1
22376,1
22507,1
22636,1
22652,1
3553,1
21550,4
21599,2
15602,3
15598,3
24752,3
24785,3
19019,1
19045,1
19044,3
18453,3
18380,3
18370,1
18291,1
18068,1
18055,1
17920,1
17820,1
17749,1
17688,1
17684,1
17477,1
17162,2
1909,10
1910,10
1905,5
1868,5
1821,5
1790,5
1842,5
1858,5
12540,1
12760,1
14207,1
10745,1
10085,1
9780,1
39341,2
39308,2
555,4
558,4
567,4
569,4
566,4
551,4
541,4
599,4
613,5
623,5
655,5
707,6
878,5
988,6
1186,6
24985,1
25031,1
25050,1
25304,1
25324,1
25332,1
16078,2
15614,3
15593,3
75568,3
15081,3
75559,3
14734,2
14587,2
13959,2
4744,4
4819,4
5207,4
5458,4
5459,1
4456,2
28565,4
28585,4
28583,4
28577,3
28587,3
28624,3
28649,3
28680,1
28676,1
28665,1
28691,1
28581,1
28052,2
75810,2
26846,2
26781,2
26733,4
64371,2
75651,1
15187,1
15360,1
15382,1
17750,1
75658,1
17652,1
35322,4
35685,4
36030,4
36229,4
75981,4
65165,1
31193,2
31517,2
31656,2
31667,2
38642,1
38641,1
38524,1
38803,1
38937,1
29673,6
75632,2
52591,1
52699,1
52863,1
52746,1
53680,1
53777,1
53779,2
53342,1
53571,1
53672,1
53769,1
24738,1
28131,5
28108,5
27429,4
5859,1
6885,1
7236,3
33481,3
32840,3
32709,4
32431,4
31807,4
31437,4
31406,6
75882,6
40008,1
35317,1
35262,1
35293,1
35314,1
35459,1
35809,1
34726,1
34709,1
34684,1
34722,1
24806,2
24823,2
24824,2
21372,3
12349,2
12565,2
17073,1
17649,1
17917,1
17932,1
28538,1
17001,1
17159,1
4320,4
4319,4
4315,4
4310,4
8880,2
75414,3
75416,1
1290,1
1285,1
1235,1
76152,2
1229,2
1259,2
1269,2
1253,1
75415,1
32669,1
32674,1
32675,1
32230,1
31596,1
31582,1
31569,1
31544,1
31499,1
31014,1
30470,1
30452,1
30434,1
34238,1
75969,4
29687,1
28978,1
26595,1
24762,2
24704,2
24522,2
24404,4
23741,6
24006,1
23998,2
23867,3
23932,2
24454,1
24690,1
2349,1
2281,1
2194,1
1979,5
2784,1
2853,1
2869,1
2882,1
2975,1
3010,1
4483,1
5873,1
7054,1
7074,1
7096,1
12298,3
12299,2
12292,2
12273,2
12176,2
10717,3
10700,3
10674,5
4272,2
4283,2
4284,2
4173,2
4209,2
4362,2
4544,2
6253,2
11846,6
11970,6
12060,6
12062,6
12115,6
12148,3
12211,2
76170,2
8801,1
8262,1
8191,1
8071,1
9165,1
9258,2
9510,6
9729,4
9819,4
10174,6
29159,1
29111,1
29166,1
29207,1
29218,1
29629,1
29912,1
29965,1
29988,1
30036,1
29926,1
29981,1
30034,1
30090,1
30127,1
30169,1
30209,1
30479,1
30501,1
30879,1
28109,1
28011,1
27795,1
27781,1
27729,1
27701,1
27700,1
27597,1
19554,1
19896,1
19951,1
20075,1
20074,1
27043,1
27124,2
28684,1
29072,1
75836,1
12152,5
19761,1
75702,1
19810,1
19816,1
75709,1
20005,1
75711,1
20138,1
20163,1
20164,1
75712,1
20021,1
75710,1
19836,1
19827,1
75705,1
25495,4
25483,4
32789,4
32765,4
26270,1
26078,3
28834,3
28290,3
28272,3
28054,3
22900,3
31815,2
31447,2
24788,1
24790,1
23552,1
2458,1
2280,1
2166,1
2358,1
2311,1
2198,1
1894,1
1777,1
1752,1
1631,1
9927,2
