Node,Farness_weighted
44733,16131
45853,16131
44735,16131
40849,16131
45861,16131
36785,16131
46468,16131
36787,16131
44098,16131
44737,16131
138881,16131
139032,16131
45869,16131
46422,16131
40206,16131
38527,16131
38623,16131
39737,16131
38377,16131
39184,16131
38833,16131
37452,16131
51153,16131
50158,16131
50141,16131
39743,16131
40046,16131
40946,16131
44739,16131
45873,16131
46364,16131
42400,16131
44166,16131
36643,16131
36607,16131
35719,16131
35717,16131
41303,16131
41840,16131
37454,16131
38159,16131
36552,16131
36613,16131
38622,16131
38150,16131
39955,16131
39954,16131
46320,16131
44741,16131
45883,16131
36060,16131
36554,16131
36621,16131
36793,16131
42340,16131
42925,16131
40260,16131
39742,16131
38826,16131
37934,16131
37466,16131
40261,16131
42211,16131
42295,16131
46460,16131
46240,16131
45891,16131
37085,16131
42184,16131
42183,16131
37458,16131
44811,16131
41151,16131
41775,16131
40901,16131
44283,16131
44384,16131
18262,16131
26017,16131
40609,16131
36359,16131
36065,16131
42123,16131
38149,16131
38534,16131
38496,16131
39430,16131
38882,16131
39434,16131
38889,16131
39749,16131
40306,121275
42270,16131
42460,16131
29929,16131
37462,16131
36797,16131
40853,16131
29907,16131
44218,16131
41537,16131
42638,16131
35743,16131
44446,16131
35753,16131
43897,16131
40307,121275
40606,16131
46153,16131
39536,16131
39456,16131
38891,16131
38895,16131
45640,16131
45896,16131
45156,16131
45646,16131
44924,16131
45094,16131
44909,16131
44773,16131
36796,16131
37798,16131
44110,16131
44748,16131
44852,16131
40330,16131
45372,16131
36513,16131
41126,16131
42770,16131
42844,16131
49133,16131
49011,16131
25790,16131
24385,16131
42873,16131
44541,16131
36792,16131
37470,16131
45174,16131
41278,16131
41697,16131
43824,16131
38495,16131
45668,16131
42620,16131
45504,16131
36687,16131
36749,16131
38893,16131
42096,16131
37474,16131
45674,16131
41021,16131
40847,16131
43638,16131
39453,16131
38518,16131
41725,16131
35755,16131
44053,16131
39862,16131
38766,16131
38524,16131
45730,16131
46649,16131
44359,16131
44362,16131
41093,16131
44655,16131
44957,16131
44954,16131
45635,16131
40765,16131
41020,16131
43945,16131
45526,16131
45822,16131
40229,16131
46651,16131
46837,16131
45666,16131
46140,16131
38424,16131
46766,16131
47427,16131
40930,16131
38437,16131
41514,16131
41321,16131
42347,16131
43588,16131
47386,16131
48639,16131
46157,16131
43860,16131
44194,16131
39997,16131
46018,16131
46413,16131
39664,16131
40560,16131
48652,16131
44196,16131
44296,16131
44318,16131
46637,16131
147205,16131
45616,16131
46291,16131
45650,16131
43258,16131
41323,16131
43080,16131
44654,16131
44968,16131
50115,16131
44642,16131
40216,16131
47387,16131
48246,16131
44974,16131
45575,16131
41520,16131
42179,16131
44324,16131
40225,16131
44639,16131
46073,16131
46670,16131
44326,16131
46777,16131
40177,16131
44955,16131
41396,16131
41310,16131
47325,16131
37878,16131
37869,16131
42862,16131
42257,16131
46571,16131
46572,16131
40483,16131
46056,16131
46055,16131
42181,16131
42789,16131
24386,16131
38592,16131
46484,16131
39857,16131
45994,16131
45993,16131
40318,16131
40841,16131
41600,16131
46496,16131
46788,16131
39827,16131
40730,16131
41103,16131
40731,16131
41539,16131
39405,16131
47213,16131
47214,16131
42403,16131
45919,16131
46432,16131
45920,16131
41293,16131
38741,16131
39104,16131
47050,16131
47391,16131
42473,16131
42470,16131
42405,16131
47403,16131
48425,16131
45814,16131
45813,16131
46369,16131
39886,16131
39446,16131
39796,16131
38698,16131
45763,16131
46068,16131
45764,16131
46990,16131
46989,16131
16948,16131
46248,16131
46904,16131
25036,16131
25025,16131
45426,16131
45425,16131
45717,16131
45778,16131
42306,16131
40198,16131
40418,16131
38959,16131
46224,16131
38299,16131
42376,16131
43628,16131
40292,16131
46820,16131
46118,16131
47417,16131
20248,16131
37870,16131
37941,16131
39952,16131
38065,16131
38314,16131
38953,16131
139401,16131
139269,16131
39448,16131
47421,16131
40722,16131
40955,16131
40544,16131
40720,16131
40534,16131
40072,16131
45710,16131
38069,16131
48435,16131
38855,16131
39011,16131
38679,16131
38864,16131
38451,16131
38682,16131
38462,16131
40430,16131
38316,16131
37829,16131
37685,16131
37849,16131
40956,16131
38324,16131
37712,16131
42285,16131
38073,16131
42368,16131
42544,16131
39542,16131
39934,16131
39712,16131
39926,16131
42546,16131
42640,16131
42642,16131
42894,16131
43642,16131
44024,16131
41848,16131
42282,16131
44018,16131
44186,16131
47400,16131
26637,16131
38936,16131
45392,16131
42694,16131
42978,16131
41294,16131
47185,16131
47182,16131
41847,16131
41186,16131
40960,16131
39642,16131
39921,16131
37359,16131
37732,16131
39538,16131
6711,16131
8216,16131
46618,16131
47172,16131
7510,16131
45353,16131
42949,16131
42950,16131
46358,16131
37360,16131
37364,16131
55532,16131
59663,16131
46673,16131
36442,16131
39639,16131
43109,16131
43630,16131
43942,16131
39022,16131
43072,16131
26477,16131
40971,16131
41061,16131
39893,16131
39609,16131
46674,16131
47168,16131
38081,16131
37851,16131
38330,16131
47390,16131
36028,16131
36038,16131
16456,16131
43629,16131
43654,16131
7509,16131
36702,16131
36701,16131
40655,16131
40645,16131
36691,16131
36745,16131
47164,16131
32580,16131
48408,16131
32481,16131
36072,16131
139339,16131
139340,16131
44912,16131
44914,16131
43664,16131
43082,16131
42730,16131
42958,16131
42715,16131
42392,16131
42281,16131
36606,16131
36601,16131
37366,16131
37370,16131
36869,16131
36867,16131
46955,16131
139423,16131
139321,16131
15075,16131
38724,16131
39090,16131
139311,16131
46956,16131
46958,16131
66425,16131
70936,16131
41796,16131
41764,16131
40969,16131
40642,16131
43122,16131
39096,16131
39274,16131
39904,16131
39594,16131
43670,16131
42936,16131
42720,16131
42380,16131
42283,16131
49567,16131
47225,16131
46821,16131
139252,16131
46824,16131
46962,16131
40950,16131
41348,16131
43478,16131
43457,16131
43126,16131
43146,16131
42938,16131
42940,16131
42726,16131
42410,16131
42299,16131
16947,16131
48407,16131
48387,16131
48928,16131
36850,16131
38560,16131
40626,16131
39114,16131
39908,16131
39590,16131
36897,16131
36604,16131
37401,16131
139243,16131
139210,16131
139253,16131
139324,16131
139174,16131
139214,16131
42315,16131
139038,16131
139169,16131
43743,16131
139326,16131
139352,16131
138972,16131
43086,16131
139048,16131
38476,16131
39912,16131
39110,16131
39586,16131
42450,16131
42369,16131
28239,16131
48384,16131
46915,16131
47253,16131
47256,16131
47673,16131
47684,16131
38356,16131
38712,16131
41466,16131
39580,16131
39086,16131
138934,16131
138933,16131
138970,16131
41470,16131
50093,16131
52161,16131
