Node,Indegree,Outdegree
68724,7,7
3189,26,26
3188,6,8
35956,1,1
101496,1,1
35961,2,2
68731,11,11
3200,30,23
68742,8,8
35979,88,88
35980,68,68
3211,20,32
134286,22,22
134285,6,6
68752,12,12
35984,1,1
35988,2,2
35991,10,10
35995,43,43
68764,1,1
68771,6,6
36018,25,25
68788,12,12
68794,1,1
36028,2,2
3261,3,3
68798,1,1
101567,6,6
36032,10,10
36033,26,26
68802,26,26
3267,0,1
101577,5,5
68810,1,1
68812,8,9
3284,2,2
36069,20,20
3301,63,63
3310,20,20
68863,1,1
36101,18,18
101641,1,1
36108,1,1
3341,2,2
68878,12,12
101648,3,3
68888,30,30
3353,13,13
36133,2,2
68901,4,4
68904,12,12
3368,23,23
68906,8,8
36142,41,41
3374,18,18
68915,1,1
68921,6,6
36160,15,15
36165,35,35
68934,12,12
68938,6,6
68954,41,35
68955,11,11
101731,0,1
68968,6,6
134513,4,4
36213,22,22
3445,16,16
3447,4,3
36217,6,6
36220,6,6
36221,4,4
68996,1,0
68998,6,6
3463,1,0
36235,1,2
36239,5,5
36244,1,1
3478,40,34
69016,12,12
36253,20,20
36254,18,18
101798,4,4
69031,58,58
36263,3,3
36266,4,4
69038,64,64
3503,3,3
36274,12,12
36277,1,1
69049,14,40
69050,40,40
36288,1,4
36291,25,25
36300,3,3
36304,19,18
69075,30,30
101843,11,11
134614,1,1
36318,4,4
3553,3,3
36324,57,57
3559,1,1
36329,1,1
36332,5,5
69108,30,30
3573,5,5
101878,4,4
3576,4,4
134652,4,4
3580,5,5
3586,15,15
101891,14,13
69124,15,26
3594,1,1
3597,1,1
101906,11,11
69143,13,12
69144,22,24
69145,28,28
36377,1,1
36381,1,1
69151,1,1
36385,6,6
69155,1,1
69161,7,7
36394,5,5
3628,23,31
3629,4,4
36398,5,5
3634,24,19
134706,4,4
36404,11,11
36405,2,2
69176,21,14
3641,5,5
36411,26,26
3648,2,2
3651,7,2
36420,4,4
69190,2,2
101959,1,1
3660,9,16
36434,17,17
101972,3,3
36438,9,9
69208,25,25
36442,2,2
69211,16,25
101981,20,20
101982,36,36
69215,37,33
69216,12,14
36446,2,1
69219,35,37
3684,5,5
3687,9,8
101991,4,4
69225,1,1
69226,1,1
101992,4,4
69224,8,7
69231,21,51
69232,18,18
36467,25,25
69239,4,5
3704,1,1
134777,4,4
36472,1,1
3707,11,11
134787,8,8
3716,7,7
3717,9,9
134790,1,1
36487,0,1
36491,87,87
3723,17,17
